424_행정구역코드,평균공시지가(원/㎡),가구수,소득분위,단위면적당버스정류장개수,토지이용비율_주거,토지이용비율_상업,토지이용비율_공업,토지이용비율_녹지,토지이용비율_기타,1차산업_사업체규모(명/개),2차산업_사업체규모(명/개),3차산업_사업체규모(명/개),분산,총 인구수,참여율
1115065,3690741.339,7141,8분위,44.23076923,0.854030369,0,0,0.145969631,0,0,1.773109244,2.858431645,0.000477822,19491,0.003694013
1115066,3690741.339,17831,7분위,36.02941176,0.504708313,0.047675333,0,0.447616354,0,0,2.38372093,3.211071544,0.000367042,49627,0.002962097
1115072,3690741.339,16066,6분위,23.76237624,0.993026786,0.006973214,0,0,0,0,8.587234043,3.338830948,0.000265123,32698,0.002507799
1115069,3690741.339,8300,9분위,34.375,0.682212184,0.143093146,0,0.17469467,0,0,10,6.113682093,0.00019693,24528,0.003302348
1115070,3690741.339,11604,8분위,27.27272727,0.665251336,0.041805039,0.01687532,0.276068305,0,0,1.754385965,3.586705202,0.000146365,29010,0.0035505
1116051,3631703.707,15820,8분위,32.18390805,0.157142443,0,0.421580891,0.421276665,0,0,9.960629921,4.817798101,0.000338173,41637,0.002665898
1116052,4013763.736,13153,7분위,45.3125,0.354631916,0.035740998,0.609626785,3.02E-07,0,0,10.57786885,6.127625202,0.000182478,24239,0.002186559
1116053,4013763.736,8766,7분위,7.608695652,1,0,0,0,0,0,3.368,3.269797422,0.00020188,20303,0.003694035
1116054,4013763.736,15067,7분위,75.94936709,0.825241999,0.004978072,0.059101105,0.110678823,0,3,6.444444444,6.223709993,0.000158344,30544,0.00288109
1116073,3336648.082,26338,6분위,33.03571429,0.847267568,0.152732432,0,0,0,0,4.066176471,2.384359401,0.000237666,51801,0.002548213
1116057,3336648.082,7957,5분위,64.44444444,1,0,0,0,0,0,2.631578947,2.153913043,0.000135196,17840,0.00235426
1116058,3336648.082,9239,7분위,30.18867925,0.971670063,0.028321467,0,8.47E-06,0,0,3.562913907,2.507472385,0.000213502,21525,0.003019744
1116059,3336648.082,9638,5분위,37.80487805,1,0,0,0,0,0,2.394366197,2.218658892,0.000342245,20532,0.002094292
1116055,3336648.082,18579,5분위,33.67346939,0.913513027,0.086486973,0,0,0,0,2.280952381,2.257244535,9.54E-05,34202,0.00210514
1116061,3336648.082,11873,7분위,28.82882883,0.93760805,0.06239195,0,0,0,0,8.293333333,4.560286867,0.000141376,24869,0.002694117
1116063,3336648.082,11583,6분위,58.49056604,0.964369835,0.035630165,0,0,0,0,2.606666667,2.499374218,0.000243978,24383,0.002501743
1116064,3315628.21,20072,7분위,16.80851064,0.098657154,0.068043054,0.278264003,0.555035789,0,3,8.992526158,6.941258591,0.00030696,34115,0.003664077
1116065,3663991.407,8052,7분위,24,0.351155583,0.026303925,0.054738906,0.567801585,0,0,3.397058824,3.689125296,0.000181118,14026,0.00242407
1116066,3663991.407,7912,7분위,40,0.689559017,0,0.245111876,0.065329107,0,0,13.42857143,5.54973357,0.000223457,15040,0.002792553
1116067,2545244.617,13523,7분위,28.57142857,0.376481244,0.109337097,0.061108564,0.453073095,0,3,7.38547486,4.610052825,0.000332087,36416,0.002800967
1116074,3349130.865,16129,8분위,27.94117647,0.988089409,0.011910591,0,0,0,0,2.771260997,2.862021228,0.000230979,42923,0.003284952
1116069,1498779.739,12784,6분위,7.911683533,0.114501584,0.003079939,0,0.882418476,0,32,4.22265625,12.89461449,0.000180816,30842,0.002366902
1116070,2800111.404,17489,7분위,32.43243243,0.85944846,0.093773289,0.005562849,0.041215402,0,0,2.72260274,3.122103387,0.000420702,42932,0.003703531
1116071,1490670.37,11644,6분위,10.60842434,0.137596706,0.00593789,0,0.856465404,0,0,6.162055336,4.069586914,0.000225479,23355,0.00261186
1116072,2554612.368,11330,7분위,9.411764706,0.275930741,0,0,0.724069259,0,0,3.712765957,3.637887678,0.000382507,22791,0.003027511
1117051,3117923.208,13483,8분위,36.05442177,0.356036259,0.030632526,0.322782207,0.290549008,0,0,3.26754386,4.334405145,0.000388153,36049,0.003134622
1117052,3182733.953,8364,7분위,32.35294118,1.41E-08,0,0.863007784,0.136992202,0,0,3.37962963,2.733333333,0.000360871,20827,0.00470543
1117071,3182733.953,12794,6분위,26.70454545,0.524783066,0,0.354846417,0.120370517,0,4.5,3.115357396,3.324839219,0.000118977,23802,0.00243677
1117054,3182733.953,13227,6분위,51.96078431,0.211017296,0.018397987,0.770584718,0,0,2.666666667,10.48611111,8.476806792,0.000413523,23529,0.002422542
1117055,3182733.953,10711,6분위,45.65217391,0.942740087,0.057259913,0,0,0,0,2.384615385,2.729534147,0.000153341,19667,0.002338943
1117056,3182733.953,14707,7분위,44.66019417,0.643390317,0.258014877,0.043017971,0.055576835,0,0,10.0760095,4.601545894,0.000201932,29212,0.003149391
1117070,3243420.654,6040,5분위,30,0.772493631,0,0.227506369,0,0,0,12.44036697,2.677777778,0.000222117,8958,0.002679169
1117061,2762216.414,9619,6분위,29.31034483,0.298576104,0,0.561267643,0.140156253,0,0,2.453362256,3.558693733,0.000271047,22337,0.003133814
1117062,2762216.414,11610,6분위,38.23529412,0.781332608,0,0.046652632,0.17201476,0,0,2.205821206,2.178294574,0.000159791,26631,0.002703616
1117072,2795023.863,14937,6분위,48.09160305,0.707691387,0.013073733,0.180797511,0.098437369,0,0,2.31626506,2.442481884,0.000182604,33775,0.002368616
1117064,2795023.863,12605,7분위,40,0.92665085,0,0.016719973,0.056629178,0,1,2.380208333,2.15726817,0.000476991,30894,0.003139768
1117065,2795023.863,8842,6분위,33.33333333,0.672453187,0,0,0.327546813,0,0,4.021390374,6.224818695,0.000332818,20222,0.00227475
1117067,2519453.233,11785,6분위,52.54237288,0.602064572,0.196876962,0.14270241,0.058356056,0,0,6.466216216,2.656782334,0.000318751,22540,0.002173913
1117068,1706725.029,21764,6분위,37.39130435,0.447480984,0,0.037736752,0.514782265,0,0,2.505415162,3.495875949,0.000446389,54805,0.002663991
1117069,1866847.663,9967,6분위,29.58801498,0.518314796,0,0.035786445,0.445898759,0,0,4.785498489,3.308163265,0.000608136,23506,0.003148132
1118051,2880627.315,15924,6분위,51.19047619,0.072464341,0.008900234,0.815318892,0.103316533,0,2,9.062414889,6.90274278,0.00034332,23669,0.002239216
1118052,2912587.358,21131,7분위,38.27751196,0.253254732,0.016443839,0.598652186,0.131649244,0,0,6.031890661,3.917035656,0.000367162,44873,0.002897065
1118053,2912587.358,9436,5분위,25,0.984987929,0.015012071,0,0,0,0,2.879432624,2.699759808,0.00023345,18706,0.001871057
1118054,2912587.358,12553,5분위,34.7826087,0.999994752,0,5.25E-06,0,0,0,2.707317073,2.535901094,0.000193736,24152,0.002442862
1118055,2912587.358,7657,5분위,33.89830508,0.972975615,0.027024166,2.19E-07,0,0,0,3.382550336,2.25298988,0.000160305,15142,0.002311452
1118057,2695862.299,16124,6분위,32.16374269,0.455168407,0.044578032,0.398476128,0.101777433,0,0,3.555555556,3.770571429,0.00033589,32826,0.002223847
1118058,2695862.299,8474,7분위,22.22222222,0.360892138,0,0,0.639107862,0,0,2.538461538,2.54969574,0.000573128,21228,0.003627285
1118059,2695862.299,4771,6분위,19.62616822,0.371225267,0,0.187489032,0.441285701,0,0,2.409921671,2.536431227,0.00063745,10800,0.003333333
1118060,2695862.299,9154,5분위,29.88505747,0.969186851,0,0,0.030813149,0,0,2.103030303,1.991053678,0.000222365,20249,0.002617413
1118061,2695862.299,9414,5분위,28.05755396,0.430582587,0,0,0.569417413,0,0,1.927038627,2.556853583,0.000308174,19166,0.003026192
1119073,3468014.068,10338,7분위,22.54901961,0.560570913,0.021520137,0.34479787,0.07311108,0,0,2.73964497,3.372079772,0.000239384,21254,0.003058248
1119074,6793887.159,18953,7분위,48.41269841,0.500770907,0.285891673,0.21333735,7.04E-08,0,1,1.337203618,4.577514793,0.000111972,29233,0.00246297
1119054,11512019.01,13784,9분위,12.73809524,0.073892621,0.266494613,0,0.659612766,0,1.25,18.84008529,11.84282666,0.000468679,33071,0.003477367
1119055,4944243.601,10797,7분위,41.33333333,0.053956342,0,0.946043658,0,0,0,3.391699092,4.596866398,9.52E-05,20300,0.003251232
1119056,4026173.807,18478,8분위,33.5483871,0.204436175,0.053012707,0.36368047,0.378870648,0,2,9.268235294,5.8203082,0.000310885,37520,0.003224947
1119075,2725228.732,9436,7분위,33.70786517,0.499920164,0,0.481742574,0.018337262,0,0,1.95202952,2.124651811,0.000173686,17730,0.002312465
1119076,3989823.765,13355,8분위,44.29530201,0.012961557,0.044341914,0.783756453,0.158940076,0,0,3.397096499,7.463082437,0.00032623,32627,0.003156895
1119061,4234000.863,9134,7분위,28.40909091,0,0,0.741895345,0.258104655,0,0,4.522364217,5.234891407,0.000176741,18197,0.003517063
1119062,2958620.5,10325,7분위,16,0.145095477,0.00170659,0.252699728,0.600498204,0,0,8.533834586,6.176434862,0.000204156,22301,0.003318237
1119063,3581482.826,10413,6분위,42.42424242,0.935381642,0.064618353,0,4.53E-09,0,0,1.952095808,3.19245283,0.000392465,17342,0.00282551
1119065,3581482.826,7653,7분위,59.61538462,0.932944876,0.06705484,2.84E-07,0,0,0,2.41509434,2.078026906,0.00015424,16561,0.002234165
1119066,3581482.826,5042,6분위,34.21052632,0.959134104,0.040865896,0,0,0,0,2.52238806,2.325497288,0.000144801,12324,0.003326842
1119067,3532110.072,4997,6분위,72.34042553,1,0,0,0,0,2,2.688172043,3.094098884,0.00018075,10611,0.002921497
1119068,3581482.826,9247,6분위,58.46153846,1,0,0,0,0,0,2.906832298,3.182242991,0.000201531,19076,0.003302579
1119069,3581482.826,7911,7분위,43.75,0.979955819,0.019959801,0,8.44E-05,0,2,3.75,3.509209101,0.000251094,19968,0.002453926
1119070,3482737.318,7219,6분위,30.6122449,0.992445776,0.007554224,0,0,0,0,2.095238095,3.494453249,0.000182236,14525,0.002203098
1119071,3482737.318,6977,6분위,30.90909091,0.963751043,0.036248957,0,0,0,0,1.695035461,2.557810578,0.000168713,11912,0.002770316
1119072,3482737.318,10429,6분위,51.57894737,0.8655687,4.56E-10,0.067394014,0.067037286,0,5,3.527619048,2.951149425,0.00017421,22285,0.003275746
1120072,4092066.196,15709,7분위,37.34177215,0.814206079,0.034212402,0,0.151581519,0,0,2.162601626,3.151069519,0.000438476,31962,0.003535448
1120052,5096295.131,7466,5분위,25,0.765528001,0.153081467,0,0.081390532,0,0,1.936170213,3.456964006,0.000197559,10844,0.002858724
1120053,4000164.322,21584,8분위,31.78807947,0.999999988,0,0,1.18E-08,0,1,3.064516129,3.640533778,0.000303809,44087,0.00290335
1120054,3485976.449,12575,8분위,42.85714286,0.987050424,0.012949576,0,0,0,2,3.566666667,3.083382267,0.00022136,28107,0.002739531
1120055,3485976.449,12051,6분위,56.66666667,1,0,0,0,0,0,1.946938776,2.404239766,0.000186513,24512,0.001876632
1120056,3485976.449,13804,6분위,53.33333333,1,0,0,0,0,0,2.325581395,2.160887656,0.000172623,28577,0.002834447
1120071,4552606.723,14266,8분위,30.35714286,0.881310466,0,0,0.118689534,0,1,2.587412587,5.354417671,0.00041975,31485,0.002922026
1120063,4287456.942,13289,6분위,27.84810127,0.929127461,0.070872539,0,0,0,0,5.027027027,4.311914324,0.000228978,22856,0.00240637
1120073,3056696.71,11947,8분위,17.45454545,0.380689164,0.008906349,0,0.610404487,0,0,2.838235294,3.178942165,0.000324046,27780,0.003023758
1120065,4287456.942,10564,8분위,34.7826087,0.999999823,0,0,1.77E-07,0,0,3.062992126,3.403574088,0.000515596,24344,0.003080841
1120066,4287456.942,7154,6분위,15.78947368,1,0,0,0,0,0,2.537190083,2.199524941,0.000170041,14141,0.002121491
1120067,4287456.942,6600,7분위,43.85964912,1,0,0,0,0,0,2.495575221,2.198243413,0.000254598,14467,0.00463123
1120068,3930726.927,17282,7분위,38.70967742,0.936872311,0.035352262,0,0.027775427,0,0,5.730103806,4.869167429,0.00023153,37990,0.002763885
1120069,3776185.201,10234,8분위,32.25806452,0.981769354,0.018230646,0,0,0,0,3.826388889,2.486631016,0.000210805,23142,0.002506266
1120070,3776185.201,9769,7분위,35.9223301,0.94707223,0.05292777,0,0,0,0,4.059027778,11.56767411,0.000150391,21189,0.00372835
1121052,3849423.354,12009,6분위,31.57894737,0.974291696,0.025708304,0,0,0,0,3.380530973,3.460811562,0.000214885,24412,0.002498771
1121054,3849423.354,6553,7분위,33.33333333,1,0,0,0,0,0,2.369863014,2.198170732,0.000196094,15118,0.003042731
1121079,3849423.354,14122,7분위,54.41176471,1,0,0,0,0,0,2.279503106,2.460154242,0.000196788,29209,0.00284159
1121057,3849423.354,17137,6분위,23.61111111,0.964612017,0.035387983,0,0,0,6,3.654929577,3.531559729,0.000214119,28931,0.00283433
1121058,3849423.354,10254,7분위,19.82378855,0.238369889,0.009071384,0,0.752558727,0,0,5.428571429,4.393645665,0.000182652,16847,0.002493025
1121080,3849423.354,22229,6분위,16.94915254,0.961658196,0.038341744,0,5.90E-08,0,0,8.577540107,4.266536204,0.000191643,35422,0.002117328
1121078,3849423.354,15937,7분위,58.97435897,1,0,0,0,0,12,5.121710526,2.985439173,0.000277449,33156,0.003197008
1121061,3849423.354,9605,6분위,33.33333333,0.925590048,0.074409952,0,0,0,0,7.43533123,3.425055928,0.000128493,15106,0.002250761
1121062,3849423.354,13908,6분위,22.22222222,0.518621981,0,0,0.481378019,0,0,4.556053812,2.646464646,0.000267398,25799,0.002054343
