행정동코드,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
1120068,31784930.2919,896587.8838,689205.8487,1123528.9343,1150030.9833,1381750.5031,1201720.1334,1230908.0037,1186712.3457,1355109.4889,1166772.5939,995690.7123,705132.7943,556751.7185,1283587.3183,942318.9473,723236.2326,1092333.0851,1399897.7923,1398662.8723,1219259.8457,1294136.2571,1275923.4053,1448571.7052,1193647.0488,1089986.9587,950624.6692,807053.4171,2025788.839
1120069,12046953.3343,436763.5075,281837.4465,293764.582,285565.101,437865.6319,411398.0676,449961.7802,418041.2049,577888.1999,485070.6176,417759.3318,330945.5324,266999.491,451444.7965,435095.4534,302576.1672,357210.0234,413927.5223,495268.4878,409468.1592,493115.8322,455783.9583,557131.4304,492805.1356,524870.3087,430685.9746,328533.0813,805176.5066
1120070,18010180.1065,629333.2012,335338.5439,363936.2302,417780.7889,755713.3936,782635.0706,771449.5096,726131.203,816477.3488,605820.8668,583221.0677,425811.9289,335166.4715,832247.9644,603453.9348,297383.6748,406138.723,664155.7537,934996.8906,796909.262,836252.4565,730962.2251,836692.8001,624094.8561,615576.7605,572606.0708,445236.0495,1264657.0681
1121052,12488289.9037,401133.6271,177817.707,234751.9479,389139.7586,687369.1067,658627.9003,589032.1051,505805.246,472161.6651,393218.4374,372874.3578,290073.3845,222424.3934,544407.3412,374317.7845,164312.1079,262721.8741,511329.5629,733497.3225,561813.6526,551064.2669,457045.1384,490354.2815,365464.7218,435750.1508,393003.3133,331235.9772,917542.7618
1121054,7052270.847,338432.3314,132998.1141,158680.6233,201845.2534,211299.3185,241614.3639,290053.8542,288366.3904,322057.7971,223762.0251,208098.2699,178527.3339,140094.2083,346834.9258,345605.6489,131120.8226,176271.8292,201835.7524,201427.155,254222.7972,358680.9304,284497.4041,306605.1836,222329.5962,252934.8266,257053.7863,197310.5593,579709.7201
1121079,17449475.2371,812111.6203,476485.0776,532579.5111,460403.0398,516146.8828,496938.798,638816.4871,672604.607,815576.1903,586882.8376,487883.5129,413513.7269,324241.8385,770887.4871,714919.824,422304.8319,489917.1044,517146.2878,580939.8491,553861.7473,741599.9726,714334.2222,842045.2801,681974.1964,631994.8144,610021.3129,491212.2228,1452131.9273
1121057,17463364.8565,503811.4658,217641.3613,298750.1963,604004.3623,1311971.2904,1154274.0116,770044.3692,578441.2386,598446.4974,471556.7617,446475.2314,364321.4114,274292.5839,717768.9379,462931.9964,194548.4714,325013.9403,892594.816,1344990.5651,962272.1983,811124.3342,586886.7386,565307.9052,488275.3976,559843.8677,467271.5161,426212.5762,1064290.8109
1121058,17627107.0087,322567.9293,146683.7866,785570.1049,1138532.9838,1575563.961,1054542.5152,816580.2837,585853.4235,563909.6097,433386.6947,427387.1427,292637.0158,216716.043,501852.802,426130.3418,206744.9764,671798.8229,1416716.7415,1475836.1261,893558.7474,703420.4758,481496.1854,455862.0694,400250.1752,386731.4091,303572.3207,247298.7171,695905.5902
1121080,29646026.2376,386048.4285,202882.2624,636329.794,1563381.0557,2627303.2017,1694672.1057,1267446.0992,921235.7802,1046715.5462,756276.7136,766312.1764,629319.8072,476862.6831,1114772.4969,504300.7992,294313.7989,702473.5034,2215636.8266,2649791.3582,1611595.2337,1145876.1601,800226.6966,836466.8588,835822.2181,895010.4993,823289.8865,630543.0462,1611121.1933
1121078,20690209.5771,739427.9534,336544.1845,464096.5422,590794.2492,986350.044,898820.2904,974747.8873,824201.8947,910702.7195,633855.9696,648706.7784,524989.9442,387858.7488,937888.1776,645720.3248000001,329108.2813,472758.1395,765560.3546,1046641.0701,858980.6811,894252.1905,797814.5254,784578.3961,678342.6221,779391.4918,716774.3123,616393.3687,1444908.4014
1121061,12693860.1242,293232.7572,162480.1194,240977.6485,519318.4883,868136.7059000001,735855.9085,578625.1824,397981.7944,442282.159,388089.2681,336532.8568,280423.0119,217012.0839,504416.637,274489.32,157752.4861,264734.5578,750376.6745,988446.5417,694851.9795,492681.5171,436141.8087,435870.0118,380350.1914,418947.1427,344725.7452,301297.8969,787829.6314
1121062,19008116.4606,452813.2117,228795.2137,435072.9572,676874.1374,1248969.3308,1061863.9488,870106.67,653456.9472,702618.1804,469344.8865,526135.4878,380113.5493,312367.8939,760940.9919,487681.5262,237573.575,448558.8842,943783.3901,1312912.1569,1098699.4245,863352.7042,630831.5832,722421.947,608136.2158,658471.7751,555140.0855,504125.8844,1156953.9109
1121063,16233238.6268,496619.602,148051.5275,362617.972,963657.2088,874635.9044,778656.5731,707993.8045,541990.532,568996.3381,479349.3251,524431.5874,456109.7102,348103.8164,784695.2856,517920.7911,163063.5492,307148.6783,704010.1692,864616.7927,700659.5222,678270.1148,558682.8776,533165.543,577459.2386,634070.3951,567777.0687,439472.2566,951012.4737
1121064,16514769.9015,314524.6469,125935.2778,253895.6269,764721.9527,1526925.7674,1139659.5577,816214.6997,590839.8345,576291.3919,457980.5185,438484.8683,372088.1954,276410.5048,593601.4001,275907.6658,102073.4683,295965.4991,1014162.9397,1294827.7636,797890.8543,674522.4139,503302.9697,485573.9214,469970.6211,532415.0244,459671.3665,389273.1434,971638.0191
1121065,12053442.4459,162822.5831,92252.8406,215956.3887,485734.063,963656.0133,731714.537,574802.4611,444448.5622,414953.8187,367619.951,371273.1864,279889.6775,214822.2387,535454.6043,187253.8031,91609.206,234365.5467,679226.2933,848525.3569,588247.6738,477512.8097,394205.6981,425235.3638,351205.3571,416623.9179,356217.17710000003,337213.7389,810599.6309
1121066,13069074.4914,306925.184,142409.4836,236030.0839,669695.8988,1127366.3821,949240.4687,710678.5237,516028.9919,580517.6804,425830.2744,352757.8083,322809.7288,221734.0199,581259.8584,245418.7554,112029.5946,243450.6512,723673.6248,761783.1799,545203.8665,460685.1085,343405.3758,345007.9468,350766.9913,403189.1752,341216.6312,314075.6061,735883.5754
